macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,sl_opt,tp_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
25,10,25,100,20,0.005,0.02,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9892782682799103,-0.04390028045106259,0.14748657747362673,-0.2976561067661412,0.9545725292296424,-0.18933838783856877,0.14916306279193178,-1.2693382952499288,15,27,35.7,64.3,42,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.027777777777777776,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9854038741388235,-0.059881166296876384,0.16059450933501274,-0.37287181576027345,0.9508340561093138,-0.20531927368438288,0.16352537231682052,-1.2555805302591772,18,24,42.9,57.1,42,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.035555555555555556,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9566547800566119,-0.1804644871478004,0.1735148261264211,-1.0400522605273848,0.9230935342247749,-0.32590259453530673,0.17646739966958178,-1.8468147382775968,17,25,40.5,59.5,42,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.043333333333333335,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9696415693074554,-0.12555100766458116,0.17420054719832223,-0.72072682711866,0.9372171741191285,-0.2640634908907777,0.1774314416215528,-1.4882564695269973,18,22,45.0,55.0,40,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.05111111111111111,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,1.0121567598865637,0.049210185542009774,0.18063316336283614,0.2724316212253989,0.9816437169722753,-0.07545104936156717,0.1834244388563228,-0.41134676399729003,17,19,47.2,52.8,36,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.05888888888888888,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,1.0222582910718694,0.08965332950386364,0.1819558721330803,0.49272017689152836,0.9914407217573505,-0.03500790539971333,0.1845408434565321,-0.1897027495052027,17,19,47.2,52.8,36,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.06666666666666667,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,1.06827283578206,0.26896243042360735,0.21375488946823842,1.2582749853942974,1.0395979039913543,0.15815244384265043,0.21551932147558403,0.7338202568560303,15,17,46.9,53.1,32,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.07444444444444444,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9995967795938755,-0.0016424561036102816,0.2335701251241206,-0.007031961398048961,0.975249827901501,-0.10206400644260281,0.23509143100149896,-0.4341460086733321,14,15,48.3,51.7,29,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.08222222222222221,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9995967795938755,-0.0016424561036102816,0.2335701251241206,-0.007031961398048961,0.975249827901501,-0.10206400644260281,0.23509143100149896,-0.4341460086733321,14,15,48.3,51.7,29,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.005,0.09,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9995967795938755,-0.0016424561036102816,0.2335701251241206,-0.007031961398048961,0.975249827901501,-0.10206400644260281,0.23509143100149896,-0.4341460086733321,14,15,48.3,51.7,29,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.006666666666666666,0.02,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9850447825030479,-0.06136550790851504,0.15519044098912757,-0.3954206684212865,0.9521053105197146,-0.19987799113471152,0.15654311594652998,-1.276823895615974,14,26,35.0,65.0,40,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.006666666666666666,0.027777777777777776,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9811869683203168,-0.07734639375432904,0.16769709334012947,-0.46122680014168294,0.9483764999766617,-0.21585887698052572,0.17028398858204158,-1.2676404797537761,17,23,42.5,57.5,40,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.006666666666666666,0.035555555555555556,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9525609021917126,-0.19792971460525283,0.18010728059366618,-1.0989545450513754,0.9207076771328148,-0.33644219783144946,0.18274720853500848,-1.8410250998006241,16,24,40.0,60.0,40,2022-01-01-00:00,2022-04-01-00:00
25,10,25,100,20,0.006666666666666666,0.043333333333333335,0.9956635923296686,-0.017698527887792487,0.6683015112411977,-0.026482848819123626,0.9654921161920493,-0.14301623512203368,0.1807686016719276,-0.7911563944140602,0.9347948126154735,-0.2746030941869204,0.18367869890075783,-1.49501872470955,17,21,44.7,55.3,38,2022-01-01-00:00,2022-04-01-00:00
