interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.5568374286850231,-0.035171315367775,0.0918516916342417,-0.3829141820036265,0.3646108808609452,-0.060608536779706026,0.0920342695910641,-0.6585431388656416,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,4,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8771299329613677,-0.007875502240946816,0.08134099303104138,-0.09682082732800378,0.545768739160675,-0.036377449124194446,0.08181474604694151,-0.44463193839558884,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,6,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.6789163886057099,-0.023263481530483018,0.08027701460968904,-0.28979006809846203,0.43928629307154565,-0.049415805552388004,0.08076684376412685,-0.6118328171483701,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,8,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.758287451270929,-0.016621601513936157,0.0996955984158351,-0.1667235241881659,0.5058935213020399,-0.040935090253050636,0.1000911391330841,-0.4089781633779005,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,10,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8761204309663704,-0.00794468030223179,0.10206532961314968,-0.0778391676423708,0.5975719433229421,-0.030930121337108835,0.10244165904976806,-0.30192913336245764,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,12,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.9316541204969627,-0.004252745508735303,0.1006306812725744,-0.04226092335811637,0.6376145199622727,-0.02703387151219121,0.101016214338889,-0.2676191311376809,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,14,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.9199495281112489,-0.005012230412326998,0.10183772112552743,-0.04921781788644713,0.6414924264533268,-0.026669623742966726,0.10220413456180309,-0.26094466586221654,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,16,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8932054597933976,-0.006784497356963783,0.10157718642986088,-0.06679154636408917,0.6346042037455214,-0.02731815801478728,0.10194031946047347,-0.2679818756638258,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,18,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.7652550422333191,-0.016072141366783747,0.1037248021171781,-0.15494983879195082,0.5455503944716189,-0.03640148699318614,0.10407672913920052,-0.3497562547771836,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,20,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.7022563540983581,-0.02123300183775186,0.11047836347192903,-0.1921914949721975,0.5049136347843524,-0.041051559885601566,0.11083058731384583,-0.3703991910586319,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,22,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.6711783671007752,-0.023952095030320766,0.11089518259006086,-0.2159885981599665,0.48421302795763643,-0.04356633804674936,0.11124166463508885,-0.39163687625191534,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,24,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.7154908228539969,-0.020111434296861377,0.11081516437284754,-0.18148630118162037,0.517060232369286,-0.03962351979757937,0.1111625176421566,-0.35644676495301675,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,26,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.7015397929329299,-0.021294329209669702,0.11084642435216559,-0.19210659553632844,0.5078411972310617,-0.04070425719467716,0.11119080566345176,-0.36607574656738534,MM,2020-02-15-00:00,2020-04-19-00:00
