macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
15,2,2,60,10,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.7729698768517134,-0.5128059001160434,0.4087961915949882,-1.2544292502218368,0.6610221722165607,-0.8243598024870198,0.40944478163668424,-2.0133601390443543,66,118,35.9,64.1,184,2022-05-09-00:00,2022-11-08-16:00
15,2,2,60,20,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,1.0192372875145252,0.03794458071566895,0.41183025501460785,0.0921364573234743,0.8956648913178762,-0.21942603428644214,0.4120707398736062,-0.5324960329717814,64,88,42.1,57.9,152,2022-05-09-00:00,2022-11-08-16:00
15,2,2,60,30,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,1.0508182556262657,0.09871010896825735,0.4093991271632471,0.24110972012135456,0.9297197442144889,-0.1451146841916368,0.40970557170294825,-0.35419260614022197,54,90,37.5,62.5,144,2022-05-09-00:00,2022-11-08-16:00
15,2,2,60,40,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.8959491852013394,-0.21879405449168712,0.41309572772368064,-0.5296449220071292,0.7873242466889844,-0.47616466949379727,0.4137031418666957,-1.1509815162274692,53,99,34.9,65.1,152,2022-05-09-00:00,2022-11-08-16:00
15,2,2,60,50,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.6192236370389295,-0.9544373146540313,0.4086351132858785,-2.3356713205071857,0.5313468155513897,-1.259218306103903,0.4091327049229301,-3.077774743872179,67,113,37.2,62.8,180,2022-05-09-00:00,2022-11-08-16:00
15,2,2,80,10,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.7866255009423389,-0.4779327762489516,0.41378145220378276,-1.1550367318387558,0.6830750509260464,-0.7590085794749395,0.4145331660841007,-1.8309960253480695,58,108,34.9,65.1,166,2022-05-09-00:00,2022-11-08-16:00
15,2,2,80,20,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.8674304153592984,-0.2832114237356027,0.40994809505691504,-0.6908470295398814,0.7727042279484465,-0.5134903950532792,0.4104258811734739,-1.2511160202303209,53,83,39.0,61.0,136,2022-05-09-00:00,2022-11-08-16:00
15,2,2,80,30,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.8895078213369804,-0.2331625223128497,0.4031112011717215,-0.5784074509344251,0.8059607778986676,-0.42957693902498656,0.40353221640146475,-1.064541866956195,35,81,30.2,69.8,116,2022-05-09-00:00,2022-11-08-16:00
15,2,2,80,40,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.9225255690330567,-0.16058377639482735,0.4023619143915987,-0.39910282422639837,0.8415825962488548,-0.34345237126474804,0.40264037332747726,-0.8530003298636171,38,70,35.2,64.8,108,2022-05-09-00:00,2022-11-08-16:00
15,2,2,80,50,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.7842296103303192,-0.4840072873902095,0.41669941467055205,-1.1615261993417292,0.7105708253840577,-0.6804217041023443,0.41709673288976845,-1.6313282997643812,43,73,37.1,62.9,116,2022-05-09-00:00,2022-11-08-16:00
15,2,2,100,10,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.7860833812582002,-0.4793056385964689,0.4051810702019947,-1.182941834764198,0.68960485911749,-0.7400627090591314,0.4060065339056395,-1.822785219587452,60,94,39.0,61.0,154,2022-05-09-00:00,2022-11-08-16:00
15,2,2,100,20,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.8684542638404531,-0.28086235886361366,0.4022309523213889,-0.6982614272787246,0.7855476588014576,-0.4806632310363043,0.40264388403314005,-1.19376761971813,52,66,44.1,55.9,118,2022-05-09-00:00,2022-11-08-16:00
15,2,2,100,30,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.8927696528400896,-0.22587354112374144,0.40116693354444094,-0.5630412734371572,0.8199964089759304,-0.3951963141514457,0.4014026312544558,-0.9845384244651953,35,65,35.0,65.0,100,2022-05-09-00:00,2022-11-08-16:00
15,2,2,100,40,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.9200779753302574,-0.16587416799611715,0.4068027984385984,-0.4077508036640355,0.8479578494384759,-0.32842403010271415,0.4072873079338801,-0.806369419584347,34,62,35.4,64.6,96,2022-05-09-00:00,2022-11-08-16:00
15,2,2,100,50,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.7472723290419336,-0.5801346275494129,0.3932528064455659,-1.4752205656025377,0.6875273537471263,-0.7460709451165631,0.39388522173589713,-1.894132869033632,36,62,36.7,63.3,98,2022-05-09-00:00,2022-11-08-16:00
15,2,2,120,10,0.5802934148961759,-1.083741668725525,0.6916068870671666,-1.566990857076696,0.7051724188482775,-0.69560840129158,0.3973409556991931,-1.7506587008317114,0.6281653258042584,-0.9258873726092558,0.3983028450538218,-2.324581368441249,55,81,40.4,59.6,136,2022-05-09-00:00,2022-11-08-16:00
