macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
15,2,2,60,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9207680870846031,-0.33003761784878866,0.35170969202605723,-0.9383807877103855,0.7715092255393406,-1.0371530114506355,0.3537044158130946,-2.932259155053045,69,139,33.2,66.8,208,2022-08-09-00:00,2022-11-08-16:00
15,2,2,60,20,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9885657603170674,-0.04597945771577471,0.35418738032076247,-0.12981675878495266,0.8598932018377466,-0.6035127488249268,0.3553757864744521,-1.6982382362404231,45,119,27.4,72.6,164,2022-08-09-00:00,2022-11-08-16:00
15,2,2,60,30,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9589170165217767,-0.1677263690273735,0.363636309491342,-0.4612475835044932,0.8369453011791077,-0.7116612871826412,0.3649373638721944,-1.9500915982718445,55,105,34.4,65.6,160,2022-08-09-00:00,2022-11-08-16:00
15,2,2,60,40,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8777636787908137,-0.5212734960897168,0.357364335171558,-1.4586612171006708,0.7609208047940103,-1.0924051601527436,0.3583663658341378,-3.0482915370979318,48,120,28.6,71.4,168,2022-08-09-00:00,2022-11-08-16:00
15,2,2,60,50,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8633661083715812,-0.587397583175442,0.33660287763101787,-1.7450759402578364,0.7172872553356139,-1.3285089091619902,0.3374631812265914,-3.9367521645863817,61,157,28.0,72.0,218,2022-08-09-00:00,2022-11-08-16:00
15,2,2,80,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9468786362328285,-0.2182377482437041,0.3555179307515434,-0.6138586253086101,0.8334952224665191,-0.7281767340142686,0.357020458453915,-2.039593857359475,47,103,31.3,68.7,150,2022-08-09-00:00,2022-11-08-16:00
15,2,2,80,20,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9840774986758234,-0.06417320202523617,0.3580178532049242,-0.17924581539933532,0.8810967355836529,-0.5061203230263934,0.3587860753885312,-1.4106465042666811,48,82,36.9,63.1,130,2022-08-09-00:00,2022-11-08-16:00
15,2,2,80,30,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9100514539510143,-0.37684447796156195,0.36086005394954684,-1.0442953544928804,0.8287923470588908,-0.7507997341933071,0.3616658158224364,-2.0759488493154135,33,77,30.0,70.0,110,2022-08-09-00:00,2022-11-08-16:00
15,2,2,80,40,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9583927263971638,-0.16991297803822603,0.3588059292996912,-0.4735511990280041,0.8698536589839342,-0.557466607223854,0.35927430303404484,-1.5516462004548888,34,80,29.8,70.2,114,2022-08-09-00:00,2022-11-08-16:00
15,2,2,80,50,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9524381220547133,-0.19483158705939901,0.33962867310962125,-0.5736605960725631,0.855673652096678,-0.6231803351066731,0.34048619714162626,-1.830266073451017,37,89,29.4,70.6,126,2022-08-09-00:00,2022-11-08-16:00
15,2,2,100,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9063363604418553,-0.3931995890998149,0.36002424368482827,-1.092147531720194,0.8087356639780575,-0.8487450830548535,0.3614118745943749,-2.3484150431067867,48,86,35.8,64.2,134,2022-08-09-00:00,2022-11-08-16:00
15,2,2,100,20,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9187810201133516,-0.3386752163280161,0.36051599765981934,-0.939417996778018,0.8339013956783674,-0.7262288455136431,0.36135279648943586,-2.0097501737055863,33,81,28.9,71.1,114,2022-08-09-00:00,2022-11-08-16:00
15,2,2,100,30,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9355126030086921,-0.26652094657487135,0.3586254890747679,-0.7431734628302057,0.8621826369499813,-0.5928818974680312,0.3593089014814621,-1.6500618131739213,22,74,22.9,77.1,96,2022-08-09-00:00,2022-11-08-16:00
15,2,2,100,40,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9673776722125053,-0.1326046461800068,0.35408498719652326,-0.37449948734033434,0.8976352249752229,-0.4317688511654058,0.3548730757784679,-1.2166852901372,27,61,30.7,69.3,88,2022-08-09-00:00,2022-11-08-16:00
15,2,2,100,50,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.903865321023339,-0.404115115980302,0.35444203555268716,-1.1401444395559877,0.8358540530468235,-0.7168776939195812,0.35514688503405895,-2.0185385938295135,33,59,35.9,64.1,92,2022-08-09-00:00,2022-11-08-16:00
15,2,2,120,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.794439231213638,-0.9200550145971443,0.3525474290457496,-2.609734006818555,0.7125141974349645,-1.3552029491213549,0.3538064696954505,-3.8303509551079897,45,83,35.2,64.8,128,2022-08-09-00:00,2022-11-08-16:00
15,2,2,120,20,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8156430134436059,-0.8147419847638921,0.3599243524940579,-2.2636478446601997,0.7478837592524819,-1.1615004950878727,0.3606560952272298,-3.220520907475789,28,74,27.5,72.5,102,2022-08-09-00:00,2022-11-08-16:00
15,2,2,120,30,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8901989242720575,-0.46502898124999825,0.3568338543275355,-1.3032086939350522,0.826020627325494,-0.7641931862353929,0.3572234186063656,-2.1392583644620418,22,66,25.0,75.0,88,2022-08-09-00:00,2022-11-08-16:00
15,2,2,120,40,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9482475689640443,-0.21246163405223398,0.35479000023776697,-0.598837717832662,0.8889080960415385,-0.4708307201759855,0.35505012782929884,-1.3260964671511164,29,47,38.2,61.8,76,2022-08-09-00:00,2022-11-08-16:00
15,2,2,120,50,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9071977930218279,-0.3894013061751518,0.3580800113305079,-1.087470101244312,0.8489821503210673,-0.6545695787758432,0.3585793763751972,-1.8254523876770274,27,51,34.6,65.4,78,2022-08-09-00:00,2022-11-08-16:00
15,2,2,140,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.7991309928624976,-0.8965122362536979,0.3494253151025693,-2.565676261865968,0.725304980936221,-1.2840658654393238,0.35056010111743763,-3.662897920631195,36,78,31.6,68.4,114,2022-08-09-00:00,2022-11-08-16:00
15,2,2,140,20,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8669212302829977,-0.5709679221356768,0.3609421688760366,-1.5818820059558414,0.8003276439047415,-0.8905296865518922,0.3617561000215619,-2.4616853357795865,24,70,25.5,74.5,94,2022-08-09-00:00,2022-11-08-16:00
15,2,2,140,30,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9292260601940281,-0.2934789219186479,0.3648987631440415,-0.8042749155682912,0.8681192891025976,-0.5654463809962829,0.36512802319709553,-1.548624989243994,26,54,32.5,67.5,80,2022-08-09-00:00,2022-11-08-16:00
15,2,2,140,40,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8881081232919638,-0.4744304968229353,0.3654006124443158,-1.2983845145996704,0.8367902558224877,-0.7124020235158639,0.36560684187018144,-1.9485467500327072,23,47,32.9,67.1,70,2022-08-09-00:00,2022-11-08-16:00
15,2,2,140,50,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.9063255904475603,-0.3932470996849138,0.36517588657442795,-1.0768703907966402,0.8554085048192476,-0.6244194399009027,0.3653744729284754,-1.708984852981607,20,48,29.4,70.6,68,2022-08-09-00:00,2022-11-08-16:00
15,2,2,160,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.766320498629903,-1.0641332593087858,0.35090385110822614,-3.0325493890934374,0.6908105014669395,-1.4788836344021752,0.3518931097695707,-4.202650160926961,39,83,32.0,68.0,122,2022-08-09-00:00,2022-11-08-16:00
15,2,2,160,20,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8328456012574253,-0.7312941022618279,0.35885488848344504,-2.03785464746585,0.766258979569843,-1.0644542396319252,0.35960485806369774,-2.960066349947296,25,73,25.5,74.5,98,2022-08-09-00:00,2022-11-08-16:00
15,2,2,160,30,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8411791677188459,-0.6914866543350445,0.3642762002093662,-1.898248235645413,0.7871999955339933,-0.9566549269357371,0.36484227474543296,-2.622105477231877,29,49,37.2,62.8,78,2022-08-09-00:00,2022-11-08-16:00
15,2,2,160,40,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8661548709353171,-0.5745038759048612,0.3625530005114879,-1.584606595709742,0.813334557251082,-0.8260737755516712,0.36278064625689965,-2.277061315356649,33,41,44.6,55.4,74,2022-08-09-00:00,2022-11-08-16:00
15,2,2,160,50,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.8682683441915062,-0.564759957961252,0.34206304813722704,-1.651040534886085,0.8167068347116335,-0.8095306711311224,0.3425065143669838,-2.3635482455780052,20,52,27.8,72.2,72,2022-08-09-00:00,2022-11-08-16:00
15,2,2,180,10,0.8300746405433158,-0.7446186069811265,0.5168987073998785,-1.4405503366931063,0.7845084717587901,-0.9703485502287972,0.3512450003958399,-2.7625974722351945,0.7132452249161326,-1.351102992937481,0.35231959669068214,-3.834878915701296,35,77,31.2,68.8,112,2022-08-09-00:00,2022-11-08-16:00
