interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,6,12,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6727907010063773,-0.028908305753371756,0.04364750985873793,-0.6623128294588039,0.5129574655052207,-0.04869309710837864,0.044331673304420255,-1.0983816643691522,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,14,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6823424679596798,-0.02788001840140616,0.043720957007934574,-0.6376808814213841,0.5246824326651135,-0.04704459686127175,0.04437317426905545,-1.0602035494692852,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,16,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6816549696650313,-0.027953548249141185,0.043816278227000904,-0.6379717625563955,0.5268347035095682,-0.04674599897192204,0.044467195919010535,-1.0512468350165807,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,18,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.681970454925776,-0.027919797023301017,0.04396311479870332,-0.6350732233405014,0.5306760980713472,-0.04621607742996882,0.044583787835714504,-1.036611729812395,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,20,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.686867317972187,-0.02739791373663976,0.044032846029789054,-0.622215373453366,0.535396304365621,-0.04557015156427932,0.04466200635860344,-1.0203337306072668,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,22,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6823730730542539,-0.027876746824394828,0.04372344009806896,-0.6375698426717801,0.5355235758440786,-0.04555281433592135,0.044337171029077485,-1.0274181522778396,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,24,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6964053363259993,-0.026391995216025175,0.04444960839107884,-0.5937509051558286,0.5493314357717785,-0.04369593499046692,0.045037392865345874,-0.9702145752777102,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,26,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7046030133690753,-0.02553838304895535,0.04459824593218042,-0.5726320063751166,0.5576914124208463,-0.0425942376653406,0.045174741848800506,-0.9428772788099856,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,28,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7348516484594726,-0.02247234676755277,0.043224157017372006,-0.5199024878269117,0.5816331267014948,-0.03952820138393805,0.04381677958038028,-0.9021247513506785,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,30,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7356018314270357,-0.0223979213111025,0.04303706935485786,-0.5204332369014877,0.5832178560986654,-0.039329733348459524,0.04362701166082747,-0.9014995951183506,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,32,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7218487139435059,-0.023774578402218003,0.042953692750548646,-0.553493236083045,0.5762200885185463,-0.040210220123461975,0.04353370014419166,-0.9236573043476272,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,34,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7661573505362561,-0.019429299527791915,0.04255609697371619,-0.4565573656764618,0.6136733719161707,-0.03561685609097934,0.04313393865449862,-0.8257269612281212,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,36,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7915268199546093,-0.017053138103794337,0.04300056807858914,-0.39657936780340913,0.632916462635456,-0.03336473724600999,0.04358091671345857,-0.7655813544579791,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,38,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7850816337510055,-0.017649513332726907,0.0436122500641339,-0.40469164757086495,0.6256313112984233,-0.03420919763299906,0.04420097717017361,-0.7739466370006656,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,2,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8715043208979527,-0.010031989698668945,0.04930724789147881,-0.20345872316273922,0.6165591493493202,-0.035274654530919165,0.04987871642314213,-0.7072085462598804,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,4,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7014415894472219,-0.0258663951971654,0.04611710098167688,-0.5608851087027904,0.5073385417027182,-0.04949650650204824,0.046765883487039486,-1.0583892104971246,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,6,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6584990802418662,-0.030474447723761712,0.04681949592008524,-0.6508922645339371,0.4877544136187676,-0.05236796292224896,0.04744500507230619,-1.1037613515361666,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,8,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.670209530258042,-0.029188685565959993,0.04541873674874492,-0.6426573624764361,0.5049427351018084,-0.049841774974164664,0.04608093480721057,-1.0816137993443138,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,10,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6829037861458602,-0.027820038782349354,0.04384027716151188,-0.634577164735013,0.5215541969755825,-0.04748078755832797,0.04451090148323435,-1.0667226673944645,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,12,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6730203630800788,-0.028883410832463485,0.04376263764254069,-0.6600015992725851,0.5210465486925259,-0.047551818976216034,0.04440825341815076,-1.0707878674818683,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,14,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6620392320508574,-0.03008335703193595,0.04422905917619347,-0.6801717602016838,0.5151665939445101,-0.048379637438603684,0.04486031573875614,-1.0784506671852758,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,16,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.667288624384806,-0.029507274450983164,0.04451168240681706,-0.6629107878084621,0.523685362687539,-0.04718334196250967,0.04512465844818966,-1.045622140645867,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,18,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6593271075556935,-0.03038278512929172,0.04418309744091808,-0.6876562959380513,0.5209689539436402,-0.04756268232470518,0.04477447643744415,-1.0622722164301914,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,20,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.711846994915519,-0.024792302995083663,0.04468679545932833,-0.5548015412662197,0.5634250045621427,-0.041848157611468866,0.04527661733849446,-0.9242774763539877,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,22,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7736216293313235,-0.018722105756980214,0.043496295439339305,-0.43042989219829975,0.6123194635205317,-0.0357779603733654,0.044118942478913,-0.8109432901857464,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,24,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7763872603582237,-0.018461810610755764,0.04331656367623169,-0.42620672195393877,0.6166020441131093,-0.03526958006908442,0.043944955078191024,-0.8025854163766796,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,26,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7693318045059946,-0.01912770152691961,0.043110881394851225,-0.4436861624732184,0.6130802772407249,-0.035687385827191755,0.043727622119397465,-0.81612912153668,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,28,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8615882873252931,-0.01086668220933771,0.043511394049374055,-0.24974337059867277,0.6901112273037839,-0.027054238772525066,0.04411090561037167,-0.6133231317328448,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,30,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8482467485406919,-0.012005006712439517,0.04388276208288182,-0.2735699883650336,0.681739737214989,-0.02794447811757036,0.044463364188307944,-0.6284832159622915,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,8,32,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.870165038153459,-0.010144168864598728,0.043863305888869726,-0.2312677683323637,0.6993555654236049,-0.026083640269729515,0.04445607941434642,-0.586728308329233,C,2018-05-06-00:00,2018-06-28-00:00
