macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
15,2,2,60,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.364312570751675,2.4125000441089712,0.7022206386729545,3.435529962018883,1.26703024777137,1.838013994164362,0.704859956130273,2.6076300379655253,31,56,35.6,64.4,87,2022-04-15-00:00,2022-06-01-00:00
15,2,2,60,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.129823913921641,0.9479266840583691,0.7023206624413663,1.3497063873405653,1.0492618072158142,0.37344063411375517,0.7051194177824183,0.5296133175401919,31,56,35.6,64.4,87,2022-04-15-00:00,2022-06-01-00:00
15,2,2,60,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.2891290285529455,1.9722955067559524,0.7022598688540864,2.80849809910717,1.1800266630298026,1.2855535619945837,0.7047739392960188,1.8240651226103666,36,68,34.6,65.4,104,2022-04-15-00:00,2022-06-01-00:00
15,2,2,100,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.1697683863493902,1.217746928130663,0.7023087873234037,1.7339195381160837,1.104051167591799,0.7687233488636144,0.7044841953470271,1.0911860818750423,25,43,36.8,63.2,68,2022-04-15-00:00,2022-06-01-00:00
15,2,2,100,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.273336391732723,1.8765701186939747,0.7022673567860357,2.6721591151298827,1.2224130181793622,1.5596122980348814,0.7040738730812164,2.2151259372963223,19,29,39.6,60.4,48,2022-04-15-00:00,2022-06-01-00:00
15,2,2,100,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.1696957898619733,1.217264953464858,0.7023088111740067,1.7332332075259467,1.1286606654154103,0.9399268603881538,0.703642860399009,1.3358010338585076,14,28,33.3,66.7,42,2022-04-15-00:00,2022-06-01-00:00
15,2,2,140,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.9542580276462637,-0.3636112516746498,0.7023362360810852,-0.5177167758046171,0.9176544743041534,-0.667362496472946,0.7041733317599718,-0.9477247523773403,21,25,45.7,54.3,46,2022-04-15-00:00,2022-06-01-00:00
15,2,2,140,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.018568962188677,0.14288324134736588,0.7020149745013243,0.2035330392330489,0.9895439749494038,-0.08162854828615963,0.7029929260285585,-0.11611574635225212,12,22,35.3,64.7,34,2022-04-15-00:00,2022-06-01-00:00
15,2,2,140,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.9620904110198343,-0.3001297955306211,0.7023341951778455,-0.42733188500756686,0.9354699073016404,-0.5180382972337461,0.7033540997379714,-0.7365255956092911,13,20,39.4,60.6,33,2022-04-15-00:00,2022-06-01-00:00
15,2,2,180,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.8639570469795286,-1.1356332410350196,0.7023127145005983,-1.6169908611757764,0.8350666965616809,-1.3997647582509336,0.7038873658658149,-1.9886203761153696,13,27,32.5,67.5,40,2022-04-15-00:00,2022-06-01-00:00
15,2,2,180,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.7319029972327802,-2.423811942636424,0.7022166290978227,-3.4516584230573293,0.710442463563742,-2.6549270202003483,0.7035343845402335,-3.7736990238726835,15,20,42.9,57.1,35,2022-04-15-00:00,2022-06-01-00:00
15,2,2,180,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.8140961534995687,-1.5972772398117008,0.7022841774830162,-2.2744029995611412,0.7915705681356834,-1.815185741514827,0.7033194422320224,-2.5808837812790113,13,20,39.4,60.6,33,2022-04-15-00:00,2022-06-01-00:00
15,2,8,60,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.208872259689982,1.473108223455772,0.7022948228752149,2.0975638371144827,1.1188617195164026,0.8722090217895637,0.7041849296303636,1.2386079069419993,26,65,28.6,71.4,91,2022-04-15-00:00,2022-06-01-00:00
15,2,8,60,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.0306313607712971,0.23431125355180815,0.7023378071673344,0.3336161760917175,0.9555158734456024,-0.3533813722536023,0.704610303677742,-0.5015273980654468,33,56,37.1,62.9,89,2022-04-15-00:00,2022-06-01-00:00
15,2,8,60,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.2437953584151134,1.6942793496735007,0.7022805859322983,2.4125390671654334,1.1424085979589251,1.033950556633725,0.7041389558916905,1.4683899363647275,37,63,37.0,63.0,100,2022-04-15-00:00,2022-06-01-00:00
15,2,8,100,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.134543844677395,0.9803020209256382,0.7023193937968185,1.39580656548015,1.0781142904854009,0.5841047451017725,0.7037812245267361,0.829952156644359,19,41,31.7,68.3,60,2022-04-15-00:00,2022-06-01-00:00
15,2,8,100,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.3269018483504107,2.1965761160272845,0.7022408659295201,3.1279525624299716,1.2760043749430994,1.892824871228979,0.7032471846346954,2.6915498740492145,16,30,34.8,65.2,46,2022-04-15-00:00,2022-06-01-00:00
15,2,8,100,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.1069024577544169,0.7887536290947798,0.7023262800880459,1.1230586857662497,1.0680702412945124,0.5114155360180691,0.7035645758072506,0.7268921057193435,16,26,38.1,61.9,42,2022-04-15-00:00,2022-06-01-00:00
15,2,8,140,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.9183432096361349,-0.6615360299387465,0.7023300295075814,-0.9419161962967233,0.8831172815470691,-0.9652872747370459,0.7037993231103589,-1.3715376571706144,21,25,45.7,54.3,46,2022-04-15-00:00,2022-06-01-00:00
15,2,8,140,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.9738080349370338,-0.20611693011113222,0.7029993076078017,-0.29319649092189914,0.9452544695056034,-0.43723200767505477,0.704008416736446,-0.6210607675713881,12,23,34.3,65.7,35,2022-04-15-00:00,2022-06-01-00:00
15,2,8,140,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.9042877381266683,-0.7813149216838812,0.7029877763859294,-1.111420351717398,0.8792666020469512,-0.9992234233870062,0.7040761981814698,-1.419197845301205,10,23,30.3,69.7,33,2022-04-15-00:00,2022-06-01-00:00
15,2,8,180,10,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.8462596223541798,-1.2963641648370097,0.7029660499579656,-1.844134812647818,0.8186568631048149,-1.5538923941225247,0.7042364893059428,-2.2064923043876306,13,26,33.3,66.7,39,2022-04-15-00:00,2022-06-01-00:00
15,2,8,180,30,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.749775161012187,-2.2364552019237207,0.7028986157912578,-3.18176071438998,0.7290293015452196,-2.454363703626849,0.7038504136174956,-3.4870530103299227,13,20,39.4,60.6,33,2022-04-15-00:00,2022-06-01-00:00
15,2,8,180,50,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,0.7740426035448565,-1.9890819723869217,0.7029198402953367,-2.829742252759852,0.7526252775121978,-2.206990474090048,0.7038502291900586,-3.1355967257831225,11,22,33.3,66.7,33,2022-04-15-00:00,2022-06-01-00:00
