interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,multiple_macd_strategy,multiple_macd_strategy_net,trend_ref,start_opt,end_opt,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net
1h,5,3,30,1.2259801384598463,0.1262922519245141,0.0132339948369278,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,31,1.2259801384598463,0.1273246038393747,0.0133876295343393,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,32,1.2259801384598463,0.1307872872387669,0.0137050235281905,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,33,1.2259801384598463,0.1168107823038615,0.012282146827437,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,34,1.2259801384598463,0.1181125753125521,0.0125037905084049,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,35,1.2259801384598463,0.1209019080016665,0.0128426841964501,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,36,1.2259801384598463,0.1309301682053018,0.0139790617261796,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,37,1.2259801384598463,0.1169665538311976,0.0125520782912831,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,38,1.2259801384598463,0.133670574166519,0.0145164226398896,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,39,1.2259801384598463,0.1361629751153718,0.0148374723037253,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,3,1.2259801384598463,0.0946581299247835,0.0034973686020368,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,4,1.2259801384598463,0.1502523557611078,0.0076949580490357,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,5,1.2259801384598463,0.1083628972902291,0.0066008157612961,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,6,1.2259801384598463,0.0758029664073073,0.0051571399082403,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,7,1.2259801384598463,0.0929024488961344,0.0069875396864933,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,8,1.2259801384598463,0.0788872393441211,0.006427109576138,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,9,1.2259801384598463,0.0986261272673202,0.008659585382994,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,10,1.2259801384598463,0.0869265612731854,0.0080045514570048,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,11,1.2259801384598463,0.0752165325532932,0.0073260510269952,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,12,1.2259801384598463,0.0786753761935438,0.0078209237398927,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,13,1.2259801384598463,0.0992983301470875,0.010212502026726,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,14,1.2259801384598463,0.1026133438580476,0.0108999997708264,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,15,1.2259801384598463,0.0890135990391613,0.0097161855429753,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,16,1.2259801384598463,0.1023118651738116,0.0115344762411846,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,17,1.2259801384598463,0.0998617642227333,0.011470838207135,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,18,1.2259801384598463,0.116328355158993,0.0136842562617413,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,19,1.2259801384598463,0.1018818033568858,0.0120871797778166,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,20,1.2259801384598463,0.1194852650442016,0.0145666437598456,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,21,1.2259801384598463,0.153648360507625,0.0192481887406057,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,22,1.2259801384598463,0.1719121065422574,0.0216831611523501,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,23,1.2259801384598463,0.1765722214674722,0.023041433987436,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,24,1.2259801384598463,0.1636558597747008,0.0215017040826302,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,25,1.2259801384598463,0.1634762125042911,0.0218093555218607,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,26,1.2259801384598463,0.1763917453418827,0.0238547526317158,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,27,1.2259801384598463,0.1692122488943841,0.0227673670524709,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,28,1.2259801384598463,0.1725575926564618,0.0234157370230445,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,29,1.2259801384598463,0.1630307281754428,0.0221229596383608,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,30,1.2259801384598463,0.1673586871563256,0.0229431643062828,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,31,1.2259801384598463,0.1675470263289845,0.0228132721645961,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,32,1.2259801384598463,0.1675554209361442,0.0232057085974103,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,33,1.2259801384598463,0.1467507502489006,0.0203589432021552,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,34,1.2259801384598463,0.146308853402219,0.0205058040795169,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,35,1.2259801384598463,0.1452709347249099,0.0204644735032188,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,36,1.2259801384598463,0.1398583092345585,0.0197019911034195,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,37,1.2259801384598463,0.1361244641405029,0.019110890729494,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,38,1.2259801384598463,0.1252843345155365,0.0175292937106218,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,4,39,1.2259801384598463,0.1260889410568692,0.0177019758347644,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,3,1.2143798031719617,1.0019595859923176,0.4194816083320933,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,8,1.2143798031719617,1.6437148868259015,0.8888754045691231,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,13,1.2143798031719617,1.3751741196438452,0.7879211712917639,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,18,1.2143798031719617,1.7911177646431533,1.0762882608243056,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,23,1.2143798031719617,1.8494580177221087,1.1439427200736971,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,28,1.2143798031719617,1.9394006546575835,1.206735980889705,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,33,1.2143798031719617,2.1531835809384305,1.3511965591090194,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,5,3,38,1.2143798031719617,2.214407077612515,1.3848981440870989,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,3,1.2143798031719617,1.0288561678549777,0.4939359199295319,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,8,1.2143798031719617,1.6409058520259476,1.006353863991417,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,13,1.2143798031719617,2.0936881188947964,1.3651073992457592,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,18,1.2143798031719617,1.9022772142373228,1.2930731612930333,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,23,1.2143798031719617,2.569729290639829,1.788860019570522,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,28,1.2143798031719617,2.934644270839931,2.0673513572039,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,33,1.2143798031719617,2.655492159787164,1.8834671488514527,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,3,38,1.2143798031719617,2.519693219078636,1.7901904779514504,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,3,1.2143798031719617,1.6278264944181435,0.9966361089637308,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,8,1.2143798031719617,2.048131834667852,1.439159446170745,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,13,1.2143798031719617,2.3069205422984096,1.6986102824347216,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,18,1.2143798031719617,2.809534724597502,2.1548681474313938,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,23,1.2143798031719617,2.458736524106764,1.937827345373354,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,28,1.2143798031719617,2.33691460691698,1.854385949834456,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,33,1.2143798031719617,2.362467958386424,1.8746630176382444,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,10,8,38,1.2143798031719617,2.281710546356516,1.810580483441233,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,3,1.2143798031719617,0.8072237753864863,0.4036779933775473,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,8,1.2143798031719617,2.267370190001445,1.4658330778895865,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,13,1.2143798031719617,1.704246004582627,1.1743295013819155,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,18,1.2143798031719617,2.796341088396431,1.973274584001792,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,23,1.2143798031719617,2.35516375629018,1.7165281323764767,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,28,1.2143798031719617,2.493825351915491,1.8331103042648529,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,33,1.2143798031719617,2.102914865581499,1.548398719534012,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,3,38,1.2143798031719617,2.045522070620342,1.506139790424316,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,3,1.2143798031719617,2.267370190001445,1.4658330778895865,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,8,1.2143798031719617,2.289789560546464,1.6660454230979296,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,13,1.2143798031719617,2.290709215034909,1.784034319824031,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,18,1.2143798031719617,2.3957357509154247,1.923827127597172,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,23,1.2143798031719617,2.3811202829088005,1.9186049640286784,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,28,1.2143798031719617,2.2589039961377515,1.826329363885374,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,33,1.2143798031719617,2.235033712153028,1.8255624852119423,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,8,38,1.2143798031719617,2.366562220380576,1.942880993059976,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,3,1.2143798031719617,1.704246004582627,1.1743295013819155,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,8,1.2143798031719617,2.290709215034909,1.784034319824031,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,13,1.2143798031719617,2.524589498593318,2.0480907597937126,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
