macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,sl_opt,tp_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
20,2,2,60,10,0.001,0.02,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.7275962823377684,4.24588975990122,0.7014888989946736,6.05268275233741,1.5120328247214727,3.210873835162816,0.7056937884620436,4.549953375897563,107,218,32.9,67.1,325,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.025,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.530378747673728,3.304533342086608,0.7016334968948751,4.709771350300458,1.3537808544868373,2.3523186913272744,0.705792935595345,3.3328736697301524,95,204,31.8,68.2,299,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.03,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6376112443106223,3.8304701470631906,0.7015571584627215,5.459954475351176,1.4557855345152195,2.916471468909583,0.7056099947164953,4.133262695749346,91,196,31.7,68.3,287,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.034999999999999996,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.593587414217223,3.6188407274651757,0.7015892301141448,5.158061971499206,1.4213048671723965,2.730319364382048,0.7055737089802164,3.8696444179138245,85,194,30.5,69.5,279,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.039999999999999994,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.593387567618427,3.617866763004821,0.7015893734990201,5.15667269155107,1.4246275854696828,2.748453386224556,0.7054312892126984,3.8961319525420923,84,189,30.8,69.2,273,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.045,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.632073404987301,3.804163839105124,0.7015612443461029,5.422425867681492,1.4664145437004166,2.9729664349305938,0.7052478159529093,4.215491870632187,80,181,30.7,69.3,261,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.049999999999999996,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.05499999999999999,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.06,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.06499999999999999,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.06999999999999999,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.075,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.07999999999999999,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.08499999999999999,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
20,2,2,60,10,0.001,0.09,0.7818342109793787,-1.9112997250375028,0.7029262446307408,-2.7190615511041862,1.6066001596612223,3.681997640629847,0.7015798498344191,5.248151926682103,1.4482703554304532,2.876277551525796,0.7051417931769025,4.079005923854253,78,175,30.8,69.2,253,2022-04-15-00:00,2022-06-01-00:00
