macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,sl_opt,tp_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
20,14,20,180,50,0.001,0.02,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0930549463811483,0.21507559516060387,0.6524304949907201,0.32965288534476456,1.0870051921791684,0.20165980417631538,0.6524966347483047,0.30905876511394426,38,72,34.2,64.9,111,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.025,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.119856901097335,0.27363133938649337,0.6524279907830501,0.41940465959787915,1.1137144908319172,0.2603364113840447,0.6525000329527145,0.3989829858030226,39,71,35.5,64.5,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.03,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.134893650255658,0.3058722874814618,0.6535036169508678,0.4680498769212751,1.1286687634860562,0.2925773594790133,0.6535837633427971,0.447650899377621,41,69,37.3,62.7,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.034999999999999996,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1659576975124402,0.3711465208691642,0.6534997561130869,0.5679367396809526,1.1596783885897795,0.35809331883039686,0.6535792312131329,0.5478958047147955,40,68,37.0,63.0,108,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.039999999999999994,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.2229846741674801,0.48657237568526146,0.6534911066076678,0.7445738293380965,1.2163982443225885,0.473519173646494,0.6535669147473783,0.7245152148338511,41,67,38.0,62.0,108,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.045,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.026844034941912,0.06403225143419847,0.6536369137848298,0.09796302822529572,1.0210075744369886,0.050253871504388176,0.653729710055048,0.07687255257246377,42,72,36.8,63.2,114,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.049999999999999996,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0563024283317717,0.13240202107922042,0.6536357406958592,0.2025623949789917,1.0502985297898069,0.11862364114941014,0.6537273275710022,0.18145736937473564,42,72,36.8,63.2,114,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.05499999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0604199530523761,0.14180615432547644,0.653663509556447,0.21694060055715988,1.054392650985054,0.12802777439566573,0.6537559188356715,0.19583421076122887,41,73,36.0,64.0,114,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.06,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.075324256372913,0.17554384917471863,0.6539913441267311,0.26841922412462627,1.0692122400016424,0.16176546924490826,0.6540826844562426,0.247316544359202,41,73,36.0,64.0,114,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.06499999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1541750832794135,0.34659499632216534,0.6539835471123107,0.5299751008302408,1.1478444379329609,0.3333000683197168,0.6540696518289925,0.5095788611926894,41,69,37.3,62.7,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.06999999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1606000415577982,0.3600136372997434,0.6542908601445809,0.5502348561313999,1.1542341553429403,0.346718709297295,0.6543768038047079,0.5298456596893213,41,69,37.3,62.7,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.075,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0250043437256227,0.05969768465104688,0.6559902528920823,0.09100392023792434,1.019484144377864,0.046644482612278985,0.6560767427184427,0.07109607699094525,40,68,37.0,63.0,108,2022-01-01-00:00,2022-06-01-00:00
