interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9570220082054176,-0.0049934740300599,0.0402733384590848,-0.1239895727823264,0.3813877267452703,-0.1095726096303255,0.0435729399899573,-2.5146939741862644,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,4,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9124876721242664,-0.0104101391530388,0.0404631052708943,-0.2572748454016201,0.4559307255307323,-0.0892794318053645,0.0431325001277546,-2.069887707434688,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,6,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9073320302739426,-0.0110542166030314,0.0399736831557361,-0.2765373548382975,0.5072036334962887,-0.0771652413263043,0.0422951547220401,-1.824446365864533,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,8,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9142658637281056,-0.0101888392159953,0.0394297489667041,-0.2584048715247772,0.5489182777581981,-0.0681809661662345,0.0416245983126988,-1.6379969760677278,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,10,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.919391206359634,-0.009553378845331,0.03902166728913,-0.2448224155709571,0.574013582050844,-0.0630994427293849,0.0410640108627159,-1.53661177765458,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,12,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9253938970467804,-0.008813630045229,0.0398777523609309,-0.2210162189046534,0.5947080174805006,-0.0590734734021027,0.0418606129530773,-1.4111946585282862,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,14,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9595804572554416,-0.0046899957998579,0.0397998803924072,-0.1178394445816649,0.635846735248021,-0.0514703115397173,0.0416788504522369,-1.2349263710788076,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,16,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.9682466928869512,-0.0036680028946693,0.0399262746741919,-0.0918693999027249,0.65037744035207,-0.0489018619158557,0.0417328586342773,-1.171783182753029,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,18,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,0.981900089658144,-0.00207629613393,0.03994136862481,-0.0519836000972775,0.6584278563974433,-0.0475034622449505,0.041701353865955,-1.1391347724020136,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,20,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0045895452816735,0.0005205081230087,0.0405176642197996,0.0128464493951344,0.6793949240933022,-0.0439401225388411,0.0422360462904115,-1.04034649068979,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,22,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.026461511662921,0.0029688177038888,0.0403346841933594,0.0736045853156236,0.7048930972376776,-0.0397520491494538,0.0419785029934361,-0.9469620475906326,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,24,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0165117996117812,0.0018615979961204,0.0404027829904869,0.0460759843340185,0.6980604169426425,-0.0408592688572222,0.0420589473511565,-0.9714762596429716,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,26,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.012463388469572,0.0014079792370365,0.0402947560777022,0.0349419967779801,0.7036063680051081,-0.0399597379874672,0.0418982032953357,-0.9537339275814648,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,28,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0018927653079013,0.0002149505898275,0.0403288395171818,0.0053299473131631,0.6915402725212894,-0.0419259949940127,0.0419523720216311,-0.9993712625449456,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,30,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0156660589220372,0.0017669834108591,0.0397892273136596,0.0444085882073043,0.7058320478179678,-0.0396007338136446,0.041396795478755,-0.9566135097091716,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,32,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0105421427528023,0.0011920713400738,0.0398753800289631,0.0298949211069092,0.7034664872468017,-0.0399823387945958,0.0414580725569953,-0.96440418786062,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,34,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0041845064503627,0.0004746677511527,0.0399172680761538,0.0118912885082006,0.6966672590396635,-0.0410863565631851,0.0415211351420325,-0.9895287405471896,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,36,0.8087284881450654,-0.0241316075462879,0.0568961255357146,-0.4241344611618613,1.0043792509947265,0.0004967103214222,0.0399474715836454,0.0124340866075134,0.6991763269131358,-0.0406776998132474,0.0415453310573865,-0.9791160348935316,J,2019-11-13-00:00,2019-12-17-00:00
