interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,22,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8717029108957536,-0.0100133692803028,0.0431077836821271,-0.2322868035652344,0.4885313449069063,-0.0522414285786532,0.0448479304909384,-1.1648570626733523,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,24,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.829306959439782,-0.0136493894504766,0.0429855605493992,-0.3175342900272456,0.4703369442654974,-0.0550093241817537,0.0447078817653119,-1.2304166963337215,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,26,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8161495266098603,-0.01481569621476,0.0430095660410839,-0.3444744408861889,0.467621868220008,-0.05543152417426,0.0447128255978119,-1.239723131632564,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,28,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.789846422741448,-0.0172047183245961,0.0428604302766634,-0.4014126366333688,0.45409302793844,-0.0575725106935038,0.0445696807108615,-1.2917416004614453,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,30,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.7704254273429793,-0.019020285911647,0.0429527439637414,-0.4428188785262018,0.4384312381761207,-0.0601321850523319,0.0446843695351386,-1.3457095999764652,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,32,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.7483983879661349,-0.0211357125022429,0.0432689334019959,-0.4884731570773576,0.4266210446590641,-0.0621235938476316,0.0449700870360085,-1.3814425975624185,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,34,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.7249636773278675,-0.0234558061640919,0.0433461314272871,-0.5411280174665388,0.4153759306727615,-0.0640716341235921,0.0450669497061038,-1.421698928847503,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,36,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.7291787543683895,-0.0230330221438116,0.0432476791987508,-0.5325840038250401,0.4199279038583267,-0.0632767967174231,0.0449411812953649,-1.4079913988364463,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,38,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.7197510968460012,-0.0239820552110083,0.043283006037379,-0.5540755461923664,0.4130912199284554,-0.0644738653752123,0.0449888088589351,-1.4331089666626569,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,2,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8258022837412734,-0.0139582344687736,0.0427841319919523,-0.3262479292883453,0.2984381082731728,-0.08818288495354,0.0455255807794871,-1.936996375305404,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,4,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8486699694889527,-0.0119662312324257,0.0430727323266992,-0.2778145380159297,0.4026103485932311,-0.0663480344698024,0.0451714441182286,-1.4688048116448875,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,6,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.9460283192448172,-0.0040461963495645,0.0435120542733743,-0.0929902395355406,0.5133288070289368,-0.0486305937585423,0.0452441936622423,-1.0748471753432105,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,8,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.9187596965682128,-0.0061791600728013,0.0435624201610348,-0.1418461152975254,0.5232895865980327,-0.047229050315838,0.0451137477404858,-1.0468882032927158,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,10,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8757870829741606,-0.0096724834859709,0.0434888649441734,-0.222412875074746,0.5169496303560508,-0.0481180000277877,0.0449663144693263,-1.0700899238831614,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,12,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8900341824670006,-0.0084956692408446,0.0434010930806585,-0.1957478173431244,0.5481761222957147,-0.0438407409002568,0.0448253594161953,-0.9780343419715491,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,14,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8956703107267442,-0.0080353156906706,0.0437983861908736,-0.1834614557635221,0.5678281856380378,-0.0412720848300475,0.0451468191243606,-0.914174810773714,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,16,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8976160637344505,-0.0078770608472768,0.0434679080855629,-0.1812155494525192,0.5798069631179058,-0.0397496342383956,0.0448094128047969,-0.8870822389830645,C,2018-05-06-00:00,2018-06-28-00:00
